Ordre,Brand,Model,Year,Price,Mileage,Age,FuelType,Transmission,AdditionalInfo
1,Hyundai,Civic,1990,10700,190500.0,34.0,Hybrid,Automatic,Imported
2,Hyundai,Impala,2014,4100,143000.0,10.0,Diesel,Automatic,Imported
3,Mercedes,F-150,2003,37700,187000.0,21.0,Diesel,Semi-Automatic,
4,Kia,Sportage,2018,36100,43500.0,6.0,Gas,Manual,Fleet vehicle
5,Chevrolet,C-Class,2002,32000,203500.0,22.0,Gas,Semi-Automatic,First owner
6,Honda,F-150,1997,32500,4500.0,27.0,Electric,Automatic,Refurbished
7,Audi,Impala,2003,24600,215000.0,21.0,Electric,Automatic,Imported
8,Honda,X5,2004,30700,228000.0,20.0,Gas,Automatic,Fleet vehicle
9,Toyota,A4,2002,24300,,22.0,Hybrid,Semi-Automatic,Second owner
10,???,Impala,2003,Error,164000.0,21.0,Diesel,Manual,Refurbished
11,Honda,A4,2010,15300,,14.0,Diesel,Semi-Automatic,
12,Toyota,Sportage,2011,38800,,13.0,Diesel,Semi-Automatic,Second owner
13,Ford,X5,2011,33500,-5000.0,13.0,Petrol,Semi-Automatic,Imported
14,Audi,Sportage,2022,6800,223000.0,2.0,Gas,Automatic,Second owner
15,Mercedes,A4,1996,40200,174000.0,28.0,Diesel,Manual,First owner
16,BMW,Altima,2006,12000,4000.0,18.0,Petrol,Semi-Automatic,Refurbished
17,Mercedes,Altima,2010,6600,230500.0,14.0,Gas,Semi-Automatic,Second owner
18,Chevrolet,X5,2023,41300,241500.0,1.0,Electric,Manual,
19,Ford,Elantra,2012,16200,29000.0,12.0,Gas,Semi-Automatic,Second owner
20,Kia,A4,2015,12900,161500.0,9.0,Petrol,Semi-Automatic,Refurbished
21,Ford,A4,1996,34400,137500.0,28.0,Diesel,Automatic,First owner
22,Honda,F-150,2018,,48500.0,6.0,Petrol,Automatic,First owner
23,Nissan,Corolla,2005,,207500.0,19.0,Hybrid,Semi-Automatic,Imported
24,Audi,C-Class,2008,15900,193000.0,16.0,Diesel,Semi-Automatic,Imported
25,Ford,Civic,,13100,207500.0,,Hybrid,Automatic,Fleet vehicle
26,???,C-Class,2005,40500,-5000.0,19.0,Diesel,Automatic,Imported
27,Chevrolet,Corolla,2004,Error,281000.0,20.0,Gas,Semi-Automatic,
28,Nissan,F-150,2006,31400,44500.0,18.0,Gas,Semi-Automatic,Refurbished
29,Chevrolet,F-150,1999,24500,15000.0,25.0,Petrol,Manual,Second owner
30,Audi,Civic,2013,34900,287500.0,11.0,Electric,Semi-Automatic,
31,Ford,C-Class,2023,-1,11000.0,1.0,Diesel,Manual,First owner
32,Mercedes,Unknown,2008,9000,109000.0,16.0,Diesel,Manual,Second owner
33,Audi,Corolla,2013,3300,-5000.0,11.0,Diesel,Automatic,Second owner
34,Honda,Altima,2009,22500,184000.0,15.0,Hybrid,Automatic,Fleet vehicle
35,Nissan,C-Class,1995,19800,229500.0,29.0,Gas,Semi-Automatic,Imported
36,Toyota,Elantra,2008,1400,267500.0,16.0,Petrol,Manual,Imported
37,Chevrolet,C-Class,2016,38900,175500.0,8.0,Gas,Automatic,Fleet vehicle
38,Mercedes,F-150,1996,25000,71500.0,28.0,Petrol,Automatic,Imported
39,Chevrolet,X5,2015,21400,254000.0,9.0,Diesel,Semi-Automatic,
40,Hyundai,Sportage,2010,26800,170000.0,14.0,Hybrid,Semi-Automatic,Second owner
41,Honda,Elantra,2012,31100,225000.0,12.0,Gas,Automatic,
42,Toyota,Altima,2012,7300,189500.0,12.0,Gas,Manual,Imported
43,Honda,Altima,2020,37400,252500.0,4.0,Electric,Automatic,
44,Hyundai,Civic,2019,3100,130000.0,5.0,Electric,Automatic,First owner
45,Honda,A4,2007,18600,178000.0,17.0,Gas,Automatic,Imported
46,Audi,X5,1996,35200,184500.0,28.0,Hybrid,Manual,Imported
47,Toyota,Sportage,2014,22600,56500.0,10.0,Diesel,Automatic,First owner
48,BMW,F-150,2015,28100,162500.0,9.0,Diesel,Semi-Automatic,First owner
49,Chevrolet,Corolla,1998,40600,146000.0,26.0,Hybrid,Automatic,
50,Nissan,Impala,2011,40700,115500.0,13.0,Petrol,Manual,Imported
51,Audi,Altima,2003,28900,161000.0,21.0,Gas,Manual,Imported
52,???,Altima,2011,4900,192000.0,13.0,Diesel,Automatic,Second owner
53,Toyota,Sportage,1993,48800,192000.0,31.0,Diesel,Manual,
54,Hyundai,Altima,2004,35800,37000.0,20.0,Diesel,Manual,First owner
55,BMW,C-Class,2004,31900,2000.0,20.0,Hybrid,Automatic,Fleet vehicle
56,BMW,Sportage,2013,33900,221000.0,11.0,Hybrid,Automatic,Second owner
57,Mercedes,X5,2008,16100,30500.0,16.0,Electric,Automatic,
58,Audi,X5,2009,40700,,15.0,Gas,Semi-Automatic,Fleet vehicle
59,Ford,Altima,2013,5700,72500.0,11.0,Petrol,Automatic,Refurbished
60,Honda,Unknown,1996,42100,250500.0,28.0,Electric,Automatic,Refurbished
61,Mercedes,Civic,2013,,121000.0,11.0,Petrol,Semi-Automatic,Imported
62,Chevrolet,C-Class,2007,33700,175000.0,17.0,Gas,Semi-Automatic,Imported
63,Toyota,X5,1990,15000,,34.0,Gas,Semi-Automatic,First owner
64,Toyota,Impala,2020,37600,3500.0,4.0,Petrol,Semi-Automatic,Imported
65,???,X5,2017,16600,50500.0,7.0,Petrol,Manual,
66,,Corolla,2022,4100,230500.0,2.0,Diesel,Manual,Imported
67,Nissan,Corolla,2004,38900,255500.0,20.0,Petrol,Semi-Automatic,Refurbished
68,Chevrolet,Impala,2020,6200,88500.0,4.0,Hybrid,Manual,
69,Hyundai,Impala,0,10500,227500.0,,Hybrid,Semi-Automatic,
70,Hyundai,Sportage,2004,34400,205000.0,20.0,Gas,Automatic,
71,Nissan,Corolla,1995,20500,154500.0,29.0,Gas,Automatic,Fleet vehicle
72,Mercedes,Elantra,1993,29600,104500.0,31.0,Gas,Manual,Refurbished
